Fund,CNPJ,Asset,Side,Amount,Strategy
Hashdex 100 Nasdaq Crypto Index FIM,33.736.845/0001-07,HASH11,SELL,909000.0,SimpleOrder
HDA I - FIM,33.736.782/0001-80,HASH11,SELL,1822000.0,SimpleOrder
HC II - FIM,35.001.472/0001-43,HASH11,SELL,4165000.0,SimpleOrder
Hashdex Crypto Long Biased FIM,47.612.160/0001-55,HASH11,SELL,553000.0,SimpleOrder
Hashdex Crypto Selection FIM,45.604.913/0001-55,HASH11,SELL,150000.0,SimpleOrder
HBTC I FIM IE,38.167.819/0001-10,BITH11,SELL,3090000.0,SimpleOrder
Hashdex Ethereum FIM,44.417.431/0001-23,ETHE11,BUY,21000.0,SimpleOrder
HBTC I FIM IE,38.167.819/0001-10,BITH11,SELL,90857.24492321955,AdjustmentOrder
Hashdex Ethereum FIM,44.417.431/0001-23,ETHE11,BUY,21000.0,AdjustmentOrder
Hashdex Crypto Long Biased FIM,47.612.160/0001-55,HASH11,SELL,553000.0,AdjustmentOrder
Hashdex Crypto Selection FIM,45.604.913/0001-55,HASH11,SELL,150000.0,AdjustmentOrder
